unit_id,year,code,credential_level,program_completers,program_completers_log,program_completer_share_within_school,instruction_salary_pct,academic_support_salary_pct,student_services_salary_pct,research_salary_pct,no_ap_credit,study_abroad,career_counseling,employment_services,placement_services,instruction_expense_pct,research_expense_pct,student_service_expense_pct,endowment_per_fte,equity_ratio,staff_per_student,instructional_fte_per_student,irps_fte_per_student,instructional_share_of_staff,research_share_of_staff,instructional_staff_total,instructional_staff_short_contract,instructional_staff_long_contract,instructional_staff_long_contract_share,instructional_staff_short_contract_share
132374,2020,1101,1,14,2.70805020110221,0.016587677725118485,,,,,0.0,0.0,1.0,0.0,1.0,71.0,0.0,5.0,,,0.09683794466403162,0.057065217391304345,0.057065217391304345,0.5892857142857143,0.0,0.0,0.0,0.0,,
132374,2020,1102,1,10,2.3978952727983707,0.011848341232227487,,,,,0.0,0.0,1.0,0.0,1.0,71.0,0.0,5.0,,,0.09683794466403162,0.057065217391304345,0.057065217391304345,0.5892857142857143,0.0,0.0,0.0,0.0,,
132374,2020,1108,1,40,3.713572066704308,0.04739336492890995,,,,,0.0,0.0,1.0,0.0,1.0,71.0,0.0,5.0,,,0.09683794466403162,0.057065217391304345,0.057065217391304345,0.5892857142857143,0.0,0.0,0.0,0.0,,
132374,2020,1109,1,34,3.5553480614894135,0.04028436018957346,,,,,0.0,0.0,1.0,0.0,1.0,71.0,0.0,5.0,,,0.09683794466403162,0.057065217391304345,0.057065217391304345,0.5892857142857143,0.0,0.0,0.0,0.0,,
132374,2020,1205,1,47,3.871201010907891,0.05568720379146919,,,,,0.0,0.0,1.0,0.0,1.0,71.0,0.0,5.0,,,0.09683794466403162,0.057065217391304345,0.057065217391304345,0.5892857142857143,0.0,0.0,0.0,0.0,,
132374,2020,1503,1,0,0.0,0.0,,,,,0.0,0.0,1.0,0.0,1.0,71.0,0.0,5.0,,,0.09683794466403162,0.057065217391304345,0.057065217391304345,0.5892857142857143,0.0,0.0,0.0,0.0,,
132374,2020,1513,1,21,3.091042453358316,0.024881516587677725,,,,,0.0,0.0,1.0,0.0,1.0,71.0,0.0,5.0,,,0.09683794466403162,0.057065217391304345,0.057065217391304345,0.5892857142857143,0.0,0.0,0.0,0.0,,
132374,2020,2203,1,20,3.044522437723423,0.023696682464454975,,,,,0.0,0.0,1.0,0.0,1.0,71.0,0.0,5.0,,,0.09683794466403162,0.057065217391304345,0.057065217391304345,0.5892857142857143,0.0,0.0,0.0,0.0,,
132374,2020,4602,1,12,2.5649493574615367,0.014218009478672985,,,,,0.0,0.0,1.0,0.0,1.0,71.0,0.0,5.0,,,0.09683794466403162,0.057065217391304345,0.057065217391304345,0.5892857142857143,0.0,0.0,0.0,0.0,,
132374,2020,4603,1,33,3.5263605246161616,0.03909952606635071,,,,,0.0,0.0,1.0,0.0,1.0,71.0,0.0,5.0,,,0.09683794466403162,0.057065217391304345,0.057065217391304345,0.5892857142857143,0.0,0.0,0.0,0.0,,
