"unitid","institution name","year","DRVF2020.Instruction expenses as a percent of total core expenses (GASB)","DRVF2020.Research expenses as a percent of total core expenses (GASB)","DRVF2020.Student service expenses as a percent of total core expenses (GASB)","DRVF2020.Endowment assets (year end) per FTE enrollment (GASB)","DRVF2020.Equity ratio (GASB)"
"431558","Cape Coral Technical College","2020","45","0","8",,
"433068","Okaloosa Technical College","2020","42","0","0",,
"433660","Florida Gulf Coast University","2020","38","2","7","6041","53"
"434441","Florida College of Integrative Medicine","2020",,,,,
"434469","New Professions Technical Institute","2020",,,,,
"438285","Cortiva Institute","2020",,,,,
"439394","East West College of Natural Medicine","2020",,,,,
"439446","Atlantic Institute of Oriental Medicine","2020",,,,,
"439686","International Training Careers","2020",,,,,
"439774","New Concept Massage and Beauty School","2020",,,,,
"439792","Fortis College-Orange Park","2020",,,,,
"439969","Acupuncture and Massage College","2020",,,,,
"441371","Ultimate Medical Academy","2020",,,,,
"441380","Florida Barber Academy","2020",,,,,
"441414","M-DCPS The English Center","2020","59","0","10",,
"441423","Florida Education Institute","2020",,,,,
"442295","Ave Maria School of Law","2020",,,,,
"442329","Tulsa Welding School-Jacksonville","2020",,,,,
"443234","Hollywood Institute","2020",,,,,
"443252","South Florida Institute of Technology","2020",,,,,
"444334","Advance Science International College","2020",,,,,
"444370","American Advanced Technicians Institute","2020",,,,,
"444404","The Beauty Institute","2020",,,,,
"445212","Paul Mitchell the School-Orlando","2020",,,,,
"445744","Fortis Institute-Port Saint Lucie","2020",,,,,
"446048","Ave Maria University","2020",,,,,
"446109","Cambridge College of Healthcare & Technology","2020",,,,,
"446127","ATA Career Education","2020",,,,,
"446552","Southern Technical College","2020",,,,,
"447014","Daytona College","2020",,,,,
"447847","Aviator College of Aeronautical Science and Technology","2020",,,,,
"447865","Trendsetters School of Beauty & Barbering","2020",,,,,
"447883","American Institute of Beauty","2020",,,,,
"447892","North Florida Cosmetology Institute","2020",,,,,
"447908","Florida Academy of Health & Beauty","2020",,,,,
"449038","Strayer University-Florida","2020",,,,,
"449083","CBT Technology Institute-Main Campus","2020",,,,,
"449092","CBT Technology Institute-Hialeah","2020",,,,,
"449481","Dragon Rises College of Oriental Medicine","2020",,,,,
"449490","Palm Beach Academy of Health & Beauty","2020",,,,,
"449506","SABER College","2020",,,,,
"449524","Taylor College","2020",,,,,
"449533","Pensacola School of Massage Therapy & Health Careers","2020",,,,,
"449898","South University-Tampa","2020",,,,,
"449959","Paul Mitchell the School-Tampa","2020",,,,,
"451079","Academy for Five Element Acupuncture","2020",,,,,
"451097","Academy of Career Training","2020",,,,,
"451103","Miami Regional University","2020",,,,,
"451121","Paul Mitchell the School-Miami","2020",,,,,
"451149","Aveda Institute-South Florida","2020",,,,,
"451158","Aveda Institute-Tallahassee","2020",,,,,
"451167","Shear Excellence Hair Academy","2020",,,,,
"454865","Cambridge College of Healthcare & Technology","2020",,,,,
"454874","Cozmo Beauty School","2020",,,,,
"454917","Celebrity School of Beauty","2020",,,,,
"455479","Fortis Institute-Pensacola","2020",,,,,
"455831","Medical Institute of Palm Beach","2020",,,,,
"456481","Polytechnic University of Puerto Rico-Miami","2020",,,,,
"456490","Polytechnic University of Puerto Rico-Orlando","2020",,,,,
"456977","CBT Technology Institute-Cutler Bay","2020",,,,,
"457129","Chamberlain University-Florida","2020",,,,,
"457350","Florida School of Traditional Midwifery","2020",,,,,
"457378","Emerald Coast Technical College","2020","52","0","8",,
"457387","Immokalee Technical College","2020","41","0","8",,
"457396","American Academy of Cosmetology","2020",,,,,
"457402","University of Fort Lauderdale","2020",,,,,
"457411","Aviation Institute of Maintenance-Orlando","2020",,,,,
"457420","Summit Salon Academy","2020",,,,,
"457439","Summit Salon Academy-Gainesville","2020",,,,,
"457448","Tenaj Salon Institute","2020",,,,,
"459055","Empire Beauty School-West Palm","2020",,,,,
"459329","Fred K Marchman Technical College","2020","69","0","4",,
"459347","The Salon Professional Academy-Ft Myers","2020",,,,,
"460190","Concorde Career Institute-Orlando","2020",,,,,
"460701","Artistic Nails and Beauty Academy-Lakeland","2020",,,,,
"460969","Beauty Academy of South Florida","2020",,,,,
"461245","Flagler Technical College","2020","35","0","7",,
"461281","Jose Maria Vargas University","2020",,,,,
"461306","D A Dorsey Technical College","2020","38","0","17",,
"461883","Millennia Atlantic University","2020",,,,,
"462035","Florida Academy","2020",,,,,
"475477","City College-Hollywood","2020",,,,,
"475547","Paul Mitchell the School-Fort Myers","2020",,,,,
"475714","American Medical Academy","2020",,,,,
"476063","Tulsa Welding School-Jacksonville","2020",,,,,
"476498","Futura Career Institute","2020",,,,,
"476814","Florida Institute of Recording Sound and Technology","2020",,,,,
"476939","FVI School of Nursing and Technology","2020",,,,,
"480569","Florida Institute of Technology-Online","2020",,,,,
"480842","Shear Finesse Beauty Academy","2020",,,,,
"480851","Miami Media School","2020",,,,,
"481252","Ultrasound Medical Institute","2020",,,,,
"481313","Kaizen Beauty Academy","2020",,,,,
"481368","Prestige Health & Beauty Sciences Academy","2020",,,,,
"481483","Boca Beauty Academy","2020",,,,,
"482459","DeVry University-Florida","2020",,,,,
"482936","Florida Polytechnic University","2020","15","5","7","1781","89"
"483470","More Tech Institute","2020",,,,,
"483595","Ana G. Mendez University","2020",,,,,
"483869","InterAmerican Technical Institute","2020",,,,,
"483896","Parisian Spa Institute","2020",,,,,
"484075","First Coast Barber Academy","2020",,,,,
"484172","Lee Professional Institute","2020",,,,,
"484473","University of Florida-Online","2020","72","0","7",,"89"
"485272","West Coast University-Miami","2020",,,,,
"485342","Aparicio-Levy Technical College","2020","49","0","6",,
"485379","Hollywood Institute of Beauty Careers-West Palm Beach","2020",,,,,
"485388","Hollywood Institute of Beauty Careers-Casselberry","2020",,,,,
"485485","Latin Beauty Academy","2020",,,,,
"485768","Atlantis University","2020",,,,,
"486150","Treasure Coast Technical College","2020","38","0","0",,
"486239","San Ignacio University","2020",,,,,
"486354","United International College","2020",,,,,
"486512","Florida International Training Institute","2020",,,,,
"487311","Jones Technical Institute","2020",,,,,
"487384","Florida Career College-Pembroke Pines","2020",,,,,
"487393","Florida Career College-West Palm Beach","2020",,,,,
"487409","Florida Career College-Hialeah","2020",,,,,
"487418","Florida Career College-Lauderdale Lakes","2020",,,,,
"487436","Florida Career College-Jacksonville","2020",,,,,
"487445","Florida Career College-Boynton Beach","2020",,,,,
"487454","Florida Career College-Margate","2020",,,,,
"487472","Florida Career College-Orlando","2020",,,,,
"488059","Med College","2020",,,,,
"488147","PiBerry Institute","2020",,,,,
"488226","Center for Neurosomatic Studies","2020",,,,,
"488280","National Personal Training Institute","2020",,,,,
"488332","Hope College of Arts and Sciences","2020",,,,,
"488891","South Dade Technical College-South Dade Skills Center Campus","2020","46","0","8",,
"489238","Boca Beauty Academy-Parkland","2020",,,,,
"490018","National Personal Training Institute-Tampa","2020",,,,,
"490054","HCI College","2020",,,,,
"490090","Gadsden Technical College","2020","74","0","1",,
"490142","World Class Academy of Beauty Careers","2020",,,,,
"490391","American Beauty Schools","2020",,,,,
"490975","Fortis College-Cutler Bay","2020",,,,,
"491136","Empire Beauty School-Tampa","2020",,,,,
"491145","Empire Beauty School-Lakeland","2020",,,,,
"491534","Pets Playground Grooming School","2020",,,,,
"491747","UR Beauty & Barber Academy","2020",,,,,
"491783","Wilton Simpson Technical College","2020","23","0","0",,
"491932","Installer Institute","2020",,,,,
"492360","The Salon Professional Academy-Delray Beach","2020",,,,,
"492652","KCK Beauty & Barber Academy","2020",,,,,
"492935","Global Medical & Technical Training Institute","2020",,,,,
"493488","Premiere International College","2020",,,,,
"493567","Bellasa Professional Institute","2020",,,,,
"494597","Faith Theological Seminary and Christian College","2020",,,,,
"495183","Mariano Moreno Culinary Institute","2020",,,,,
"495217","Adrian H. Wallace Barber Academy","2020",,,,,
"495235","Total Beauty Institute","2020",,,,,
"495299","Florida Professional Institute","2020",,,,,
"495369","Paul Mitchell the School-Fort Lauderdale","2020",,,,,
"495420","Arizona College of Nursing-Tampa","2020",,,,,
"495439","Arizona College of Nursing-Fort Lauderdale","2020",,,,,
"496052","Ruben's Five Star Academy","2020",,,,,
"496636","Antigua College International","2020",,,,,
"496681","Florida Academy of Nursing","2020",,,,,
"496973","Herzing University-Tampa","2020",,,,,
"496991","Galen Health Institutes-Miami Campus","2020",,,,,
"497222","Salon Professional Academy-Elevate Salon Institute","2020",,,,,
"498030","Universal Technical Institute-South Florida Miramar","2020",,,,,
"498076","Galen Health Institutes-Sarasota","2020",,,,,
"498085","Galen Health Institutes-Gainesville","2020",,,,,
"498234","Larkin University","2020",,,,,
"498340","Chancellor Institute","2020",,,,,
"498377","Commercial Diving Technologies Institute","2020",,,,,
"498827","JT's Cuts Academy","2020",,,,,
"498924","URBE University","2020",,,,,
"499370","Arizona College of Nursing-Sarasota","2020",,,,,
"499495","Gwinnett Institute","2020",,,,,
"500005","Affinity Hair Academy","2020",,,,,
"500014","ICR Florida Education","2020",,,,,
"500041","Kennedy University of Baptist","2020",,,,,
"500087","Doral College","2020",,,,,
"500397","Aguilas International Technical Institute","2020",,,,,
"500403","Miami Barber Institute","2020",,,,,
"500537","UR Beauty & Barber Academy-At True Family Barber Academy","2020",,,,,
