"unitid","institution name","year","IC2020.Institution does not accept dual, credit for life, or AP credits","IC2020.Study abroad","IC2020.Academic/career counseling service","IC2020.Employment services for students","IC2020.Placement services for completers","DRVF2020.Instruction expenses as a percent of total core expenses (GASB)","DRVF2020.Research expenses as a percent of total core expenses (GASB)","DRVF2020.Student service expenses as a percent of total core expenses (GASB)","DRVF2020.Endowment assets (year end) per FTE enrollment (GASB)","DRVF2020.Equity ratio (GASB)","DRVHR2020.Total FTE staff","DRVHR2020.Instructional, research and public service FTE","DRVHR2020.Instructional FTE","DRVHR2020.Research FTE","DRVEF122020.Total 12-month unduplicated headcount"
"451167","Shear Excellence Hair Academy","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"22","11","11","0","172"
"454865","Cambridge College of Healthcare & Technology","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"69","41","41","0","816"
"454874","Cozmo Beauty School","2020","Yes","Implied no","Implied no","Implied no","Implied no",,,,,,"7","4","4","0","65"
"454917","Celebrity School of Beauty","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"38","17","17","0","1035"
"455479","Fortis Institute-Pensacola","2020","Yes","Implied no","Yes","Implied no","Yes",,,,,,"50","31","31","0","882"
"455831","Medical Institute of Palm Beach","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"14","5","5","0","209"
"456481","Polytechnic University of Puerto Rico-Miami","2020","Implied no","Implied no","Yes","Implied no","Implied no",,,,,,"14","8","8","0","204"
"456490","Polytechnic University of Puerto Rico-Orlando","2020","Implied no","Implied no","Yes","Yes","Implied no",,,,,,"35","17","16","1","350"
"456977","CBT Technology Institute-Cutler Bay","2020","Yes","Implied no","Implied no","Yes","Yes",,,,,,"16","5","5","0","163"
"457129","Chamberlain University-Florida","2020","Implied no","Implied no","Yes","Implied no","Yes",,,,,,"122","56","56","0","1268"
"457350","Florida School of Traditional Midwifery","2020","Implied no","Implied no","Yes","Yes","Yes",,,,,,"13","9","9","0","68"
"457378","Emerald Coast Technical College","2020","Implied no","Implied no","Yes","Yes","Yes","52","0","8",,,"25","14","14","0","251"
"457387","Immokalee Technical College","2020","Yes","Implied no","Yes","Yes","Yes","41","0","8",,,"69","30","30","0","461"
"457396","American Academy of Cosmetology","2020","Yes","Implied no","Yes","Implied no","Yes",,,,,,"13","8","8","0","219"
"457402","University of Fort Lauderdale","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"13","4","4","0","73"
"457411","Aviation Institute of Maintenance-Orlando","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"31","12","12","0","474"
"457420","Summit Salon Academy","2020","Implied no","Implied no","Yes","Implied no","Yes",,,,,,"26","14","14","0","253"
"457439","Summit Salon Academy-Gainesville","2020","Yes","Implied no","Yes","Implied no","Implied no",,,,,,"10","5","5","0","125"
"457448","Tenaj Salon Institute","2020","Yes","Implied no","Yes","Implied no","Yes",,,,,,"10","5","5","0","163"
"459055","Empire Beauty School-West Palm","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"7","3","3","0","116"
"459329","Fred K Marchman Technical College","2020","Implied no","Implied no","Yes","Yes","Yes","69","0","4",,,"46","18","18","0","310"
"459347","The Salon Professional Academy-Ft Myers","2020","Yes","Implied no","Implied no","Implied no","Yes",,,,,,"10","5","5","0","105"
"460190","Concorde Career Institute-Orlando","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"33","7","7","0","590"
"460701","Artistic Nails and Beauty Academy-Lakeland","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"12","7","7","0","270"
"460969","Beauty Academy of South Florida","2020","Yes","Implied no","Yes","Implied no","Yes",,,,,,"14","5","5","0","312"
"461245","Flagler Technical College","2020","Implied no","Implied no","Yes","Implied no","Implied no","35","0","7",,,"30","9","9","0","215"
"461281","Jose Maria Vargas University","2020","Implied no","Implied no","Yes","Yes","Yes",,,,,,"11","7","7","0","366"
"461306","D A Dorsey Technical College","2020","Yes","Implied no","Yes","Yes","Yes","38","0","17",,,"32","16","16","0","113"
"461883","Millennia Atlantic University","2020","Implied no","Implied no","Yes","Yes","Yes",,,,,,"22","8","8","0","262"
"462035","Florida Academy","2020","Yes","Implied no","Yes","Implied no","Yes",,,,,,"23","14","14","0","533"
"475477","City College-Hollywood","2020","Implied no","Implied no","Yes","Yes","Yes",,,,,,"28","16","16","0","352"
"475547","Paul Mitchell the School-Fort Myers","2020","Yes","Implied no","Yes","Implied no","Yes",,,,,,"18","7","7","0","180"
"475714","American Medical Academy","2020","Yes","Implied no","Yes","Implied no","Yes",,,,,,"28","6","6","0","767"
"476063","Tulsa Welding School-Jacksonville","2020","Yes","Implied no","Implied no","Yes","Yes",,,,,,"12","10","10","0","433"
"476498","Futura Career Institute","2020","Yes","Implied no","Implied no","Implied no","Yes",,,,,,"9","4","4","0","247"
"476814","Florida Institute of Recording Sound and Technology","2020","Yes","Implied no","Yes","Implied no","Yes",,,,,,"50","26","26","0","192"
"476939","FVI School of Nursing and Technology","2020","Yes","Implied no","Yes","Implied no","Yes",,,,,,"61","26","26","0","911"
"480569","Florida Institute of Technology-Online","2020","Implied no","Yes","Yes","Yes","Yes",,,,,,"76","55","55","0","3479"
"480842","Shear Finesse Beauty Academy","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"8","4","4","0","37"
"480851","Miami Media School","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"18","9","9","0","123"
"481252","Ultrasound Medical Institute","2020","Implied no","Implied no","Implied no","Implied no","Yes",,,,,,"14","7","7","0","156"
"481313","Kaizen Beauty Academy","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"7","3","3","0","173"
"481368","Prestige Health & Beauty Sciences Academy","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"12","7","7","0","75"
"481483","Boca Beauty Academy","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"23","6","6","0","350"
"482459","DeVry University-Florida","2020","Implied no","Yes","Yes","Yes","Yes",,,,,,"55","20","20","0","1069"
"482936","Florida Polytechnic University","2020","Implied no","Yes","Yes","Yes","Yes","15","5","7","1781","89","246","78","77","1","1376"
"483470","More Tech Institute","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"22","6","6","0","112"
"483595","Ana G. Mendez University","2020","Yes","Implied no","Yes","Implied no","Implied no",,,,,,"83","14","14","0","2190"
"483869","InterAmerican Technical Institute","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"11","5","5","0","86"
"483896","Parisian Spa Institute","2020","Implied no","Implied no","Yes","Yes","Yes",,,,,,"9","6","6","0","354"
"484075","First Coast Barber Academy","2020","Yes","Implied no","Implied no","Implied no","Yes",,,,,,"3","2","2","0","71"
"484172","Lee Professional Institute","2020","Yes","Implied no","Implied no","Implied no","Yes",,,,,,"5","1","1","0","91"
"484473","University of Florida-Online","2020","Implied no","Yes","Yes","Yes","Yes","72","0","7",,"89","131","55","54","1","4932"
"485272","West Coast University-Miami","2020","Yes","Yes","Yes","Yes","Yes",,,,,,"125","65","65","0","1492"
"485342","Aparicio-Levy Technical College","2020","Implied no","Implied no","Yes","Implied no","Implied no","49","0","6",,,"24","14","14","0","647"
"485379","Hollywood Institute of Beauty Careers-West Palm Beach","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"28","14","14","0","477"
"485388","Hollywood Institute of Beauty Careers-Casselberry","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"32","17","17","0","495"
"485485","Latin Beauty Academy","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"19","12","12","0","184"
"485768","Atlantis University","2020","Yes","Implied no","Yes","Implied no","Yes",,,,,,"45","9","9","0","469"
"486150","Treasure Coast Technical College","2020","Implied no","Implied no","Yes","Implied no","Implied no","38","0","0",,,"19","6","6","0","126"
"486239","San Ignacio University","2020","Yes","Yes","Yes","Yes","Yes",,,,,,"51","22","22","0","211"
"486354","United International College","2020","Implied no","Implied no","Yes","Yes","Yes",,,,,,"15","9","9","0","90"
"486512","Florida International Training Institute","2020","Yes","Implied no","Yes","Implied no","Yes",,,,,,"18","5","5","0","201"
"487311","Jones Technical Institute","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"51","24","24","0","682"
"487384","Florida Career College-Pembroke Pines","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"30","7","7","0","986"
"487393","Florida Career College-West Palm Beach","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"50","18","18","0","1360"
"487409","Florida Career College-Hialeah","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"33","12","12","0","980"
"487418","Florida Career College-Lauderdale Lakes","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"49","15","15","0","1383"
"487436","Florida Career College-Jacksonville","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"38","12","12","0","860"
"487445","Florida Career College-Boynton Beach","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"35","11","11","0","906"
"487454","Florida Career College-Margate","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"30","6","6","0","1082"
"487472","Florida Career College-Orlando","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"65","25","25","0","1728"
"488059","Med College","2020","Yes","Implied no","Yes","Implied no","Yes",,,,,,"4","3","3","0","86"
"488147","PiBerry Institute","2020","Yes","Implied no","Yes","Implied no","Yes",,,,,,"11","4","4","0","143"
"488226","Center for Neurosomatic Studies","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"3","2","2","0","26"
"488280","National Personal Training Institute","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"3","2","2","0","78"
"488332","Hope College of Arts and Sciences","2020","Yes","Implied no","Implied no","Implied no","Yes",,,,,,"14","6","6","0","271"
"488891","South Dade Technical College-South Dade Skills Center Campus","2020","Implied no","Implied no","Yes","Implied no","Yes","46","0","8",,,"63","27","27","0","397"
"489238","Boca Beauty Academy-Parkland","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"17","8","8","0","268"
"490018","National Personal Training Institute-Tampa","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"2","1","1","0","53"
"490054","HCI College","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"117","68","68","0","1323"
"490090","Gadsden Technical College","2020","Yes","Implied no","Yes","Yes","Yes","74","0","1",,,"21","10","10","0","45"
"490142","World Class Academy of Beauty Careers","2020","Implied no","Implied no","Yes","Implied no","Implied no",,,,,,"2","1","1","0","49"
"490391","American Beauty Schools","2020","Yes","Implied no","Yes","Implied no","Yes",,,,,,"2","1","1","0","87"
"490975","Fortis College-Cutler Bay","2020","Implied no","Implied no","Yes","Implied no","Yes",,,,,,"25","11","11","0","442"
"491136","Empire Beauty School-Tampa","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"7","4","4","0","143"
"491145","Empire Beauty School-Lakeland","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"8","5","5","0","146"
"491534","Pets Playground Grooming School","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"4","2","2","0","20"
"491747","UR Beauty & Barber Academy","2020","Implied no","Implied no","Yes","Yes","Yes",,,,,,"17","3","3","0","78"
"491783","Wilton Simpson Technical College","2020","Yes","Implied no","Yes","Yes","Yes","23","0","0",,,"6","3","3","0","82"
"491932","Installer Institute","2020","Yes","Implied no","Yes","Implied no","Yes",,,,,,"4","2","2","0","28"
"492360","The Salon Professional Academy-Delray Beach","2020","Yes","Implied no","Yes","Implied no","Yes",,,,,,"9","5","5","0","72"
"492652","KCK Beauty & Barber Academy","2020","Yes","Implied no","Implied no","Implied no","Implied no",,,,,,"10","6","6","0","36"
"492935","Global Medical & Technical Training Institute","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"11","8","8","0","100"
"493488","Premiere International College","2020","Yes","Implied no","Yes","Implied no","Yes",,,,,,"5","2","2","0","24"
"493567","Bellasa Professional Institute","2020","Yes","Implied no","Yes","Implied no","Yes",,,,,,"2","1","1","0","83"
"494597","Faith Theological Seminary and Christian College","2020","Implied no","Implied no","Yes","Implied no","Implied no",,,,,,,,,,"109"
"495183","Mariano Moreno Culinary Institute","2020","Implied no","Yes","Yes","Yes","Yes",,,,,,"15","6","6","0","80"
"495217","Adrian H. Wallace Barber Academy","2020","Yes","Implied no","Yes","Implied no","Yes",,,,,,"4","3","3","0","82"
"495235","Total Beauty Institute","2020","Yes","Implied no","Yes","Implied no","Yes",,,,,,"5","2","2","0","13"
"495299","Florida Professional Institute","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"6","2","2","0","18"
"495369","Paul Mitchell the School-Fort Lauderdale","2020","Yes","Implied no","Implied no","Yes","Yes",,,,,,"15","6","6","0","16"
"495420","Arizona College of Nursing-Tampa","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"13","3","3","0","105"
"495439","Arizona College of Nursing-Fort Lauderdale","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"13","3","3","0",
"496052","Ruben's Five Star Academy","2020","Yes","Implied no","Yes","Implied no","Implied no",,,,,,"6","2","2","0","21"
"496636","Antigua College International","2020",,,,,,,,,,,,,,,
"496681","Florida Academy of Nursing","2020",,,,,,,,,,,,,,,
"496973","Herzing University-Tampa","2020",,,,,,,,,,,,,,,
"496991","Galen Health Institutes-Miami Campus","2020",,,,,,,,,,,,,,,
"497222","Salon Professional Academy-Elevate Salon Institute","2020",,,,,,,,,,,,,,,
"498030","Universal Technical Institute-South Florida Miramar","2020",,,,,,,,,,,,,,,
"498076","Galen Health Institutes-Sarasota","2020",,,,,,,,,,,,,,,
"498085","Galen Health Institutes-Gainesville","2020",,,,,,,,,,,,,,,
"498234","Larkin University","2020",,,,,,,,,,,,,,,
"498340","Chancellor Institute","2020",,,,,,,,,,,,,,,
"498377","Commercial Diving Technologies Institute","2020",,,,,,,,,,,,,,,
"498827","JT's Cuts Academy","2020",,,,,,,,,,,,,,,
"498924","URBE University","2020",,,,,,,,,,,,,,,
"499370","Arizona College of Nursing-Sarasota","2020",,,,,,,,,,,,,,,
"499495","Gwinnett Institute","2020",,,,,,,,,,,,,,,
"500005","Affinity Hair Academy","2020",,,,,,,,,,,,,,,
"500014","ICR Florida Education","2020",,,,,,,,,,,,,,,
"500041","Kennedy University of Baptist","2020",,,,,,,,,,,,,,,
"500087","Doral College","2020",,,,,,,,,,,,,,,
"500397","Aguilas International Technical Institute","2020",,,,,,,,,,,,,,,
"500403","Miami Barber Institute","2020",,,,,,,,,,,,,,,
"500537","UR Beauty & Barber Academy-At True Family Barber Academy","2020",,,,,,,,,,,,,,,
