"unitid","institution name","year","IC2020.Institution does not accept dual, credit for life, or AP credits","IC2020.Study abroad","IC2020.Academic/career counseling service","IC2020.Employment services for students","IC2020.Placement services for completers","DRVF2020.Instruction expenses as a percent of total core expenses (GASB)","DRVF2020.Research expenses as a percent of total core expenses (GASB)","DRVF2020.Student service expenses as a percent of total core expenses (GASB)","DRVF2020.Endowment assets (year end) per FTE enrollment (GASB)","DRVF2020.Equity ratio (GASB)","DRVHR2020.Total FTE staff","DRVHR2020.Instructional, research and public service FTE","DRVHR2020.Instructional FTE","DRVHR2020.Research FTE","DRVEF122020.Total 12-month unduplicated headcount"
"134574","Cortiva Institute","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"15","7","7","0","198"
"134608","Indian River State College","2020","Implied no","Yes","Yes","Yes","Yes","39","0","13","2457","75","995","362","359","0","23557"
"134714","International Academy","2020","Yes","Implied no","Yes","Implied no","Yes",,,,,,"16","10","10","0","243"
"134945","Jacksonville University","2020","Implied no","Yes","Yes","Yes","Yes",,,,,,"584","282","282","0","5580"
"135081","Keiser University-Ft Lauderdale","2020","Implied no","Yes","Yes","Yes","Yes",,,,,,"3049","1443","1443","0","30930"
"135142","La Belle Beauty School","2020","Yes","Implied no","Yes","Implied no","Yes",,,,,,"14","7","7","0","455"
"135160","Florida Gateway College","2020","Implied no","Yes","Yes","Yes","Implied no","36","0","12","5140","59","241","113","113","0","4773"
"135179","Lake Technical College","2020","Implied no","Implied no","Yes","Implied no","Yes","59","0","8",,,"88","37","37","0","1103"
"135188","Lake-Sumter State College","2020","Implied no","Implied no","Yes","Yes","Yes","28","0","13","3303","80","293","109","109","0","5952"
"135267","Fort Myers Technical College","2020","Implied no","Implied no","Yes","Yes","Yes","61","0","3",,,"79","37","37","0","1136"
"135276","Lively Technical College","2020","Implied no","Implied no","Yes","Yes","Yes","58","0","10",,,"94","47","47","0","1749"
"135294","Lindsey Hopkins Technical College","2020","Yes","Implied no","Yes","Yes","Yes","58","0","15",,,"112","43","43","0","1668"
"135337","Loraines Academy & Spa","2020","Yes","Implied no","Yes","Implied no","Yes",,,,,,"10","5","5","0","180"
"135391","State College of Florida-Manatee-Sarasota","2020","Implied no","Implied no","Yes","Yes","Yes","37","0","11","6400","79","566","236","236","0","13348"
"135407","Manatee Technical College","2020","Implied no","Implied no","Yes","Yes","Yes","69","0","10",,,"181","89","89","0","1564"
"135522","Traviss Technical College","2020","Implied no","Implied no","Yes","Yes","Yes","73","0","1",,,"85","33","33","0","544"
"135559","Merryfield Academy","2020","Yes","Implied no","Yes","Yes","Yes",,,,,,"8","3","3","0","118"
"135610","Trinity International University-Florida","2020","Implied no","Implied no","Yes","Yes","Implied no",,,,,,"33","24","24","0","259"
"135647","Miami Lakes Educational Center and Technical College","2020","Implied no","Implied no","Yes","Yes","Yes","46","0","0",,,"76","21","21","0","1631"
"135717","Miami Dade College","2020","Implied no","Yes","Yes","Yes","Yes","36","0","10","4670","83","4387","1390","1390","0","83464"
"135726","University of Miami","2020","Implied no","Yes","Yes","Yes","Yes",,,,,,"11786","2786","1545","184","19971"
"135735","Orange Technical College-South Campus","2020","Implied no","Implied no","Yes","Implied no","Yes","58","0","4",,,"162","85","85","0","3123"
"136109","Paul Mitchell the School-Jacksonville","2020","Yes","Implied no","Yes","Implied no","Yes",,,,,,"16","10","10","0","271"
"136145","North Florida College","2020","Implied no","Implied no","Yes","Yes","Yes","32","0","13","3565","78","122","34","34","0","1739"
"136172","University of North Florida","2020","Implied no","Yes","Yes","Yes","Yes","36","4","7","7562","37","1946","659","658","1","20515"
"136215","Nova Southeastern University","2020","Implied no","Yes","Yes","Yes","Yes",,,,,,"3879","1212","1142","70","23608"
"136233","Northwest Florida State College","2020","Implied no","Implied no","Yes","Yes","Yes","40","0","10","9065","73","403","135","135","0","7656"
"136303","Orange Technical College","2020","Yes","Implied no","Yes","Yes","Yes","49","0","8",,,"97","50","50","0","1194"
"136330","Palm Beach Atlantic University","2020","Implied no","Yes","Yes","Yes","Yes",,,,,,"469","218","218","0","4180"
"136358","Palm Beach State College","2020","Implied no","Yes","Yes","Yes","Yes","38","0","15","960","72","1470","582","582","0","42956"
"136400","Pasco-Hernando State College","2020","Implied no","Implied no","Yes","Yes","Yes","34","0","15","7132","84","561","225","225","0","14898"
"136473","Pensacola State College","2020","Implied no","Yes","Yes","Yes","Yes","32","0","11","1623","63","627","230","230","0","13357"
"136491","Pinellas Technical College-Clearwater","2020","Implied no","Implied no","Yes","Yes","Yes","56","0","8",,,"101","65","65","0","1012"
"136516","Polk State College","2020","Implied no","Yes","Yes","Yes","Yes","38","0","11","4223","72","634","224","224","0","15274"
"136659","Radford M Locklin Technical College","2020","Implied no","Implied no","Yes","Yes","Yes","43","0","22",,,"39","14","14","0","660"
"136701","Saint Vincent de Paul Regional Seminary","2020","Yes","Implied no","Yes","Implied no","Implied no",,,,,,"53","17","16","0","141"
"136765","Ridge Technical College","2020","Implied no","Implied no","Yes","Implied no","Implied no","70","0","2",,,"59","39","39","0","412"
"136774","Ringling College of Art and Design","2020","Implied no","Yes","Yes","Yes","Yes",,,,,,"388","139","139","0","1675"
"136826","Robert Morgan Educational Center and Technical College","2020","Yes","Implied no","Yes","Implied no","Yes","95","0","0",,,"119","34","34","0","1471"
"136950","Rollins College","2020","Implied no","Yes","Yes","Yes","Implied no",,,,,,"643","206","206","0","3363"
