code,title,unit_id,distance,school.type,credential.level,earnings.1_yr.overall_median_earnings,earnings.1_yr.working_not_enrolled.overall_count,earnings.4_yr.overall_median_earnings,earnings.4_yr.working_not_enrolled.overall_count,earnings.5_yr.overall_median_earnings,earnings.5_yr.working_not_enrolled.overall_count,id,school.name,location.lat,location.lon,latest.school.locale,latest.school.carnegie_size_setting,latest.admissions.admission_rate.overall,latest.student.demographics.median_family_income,latest.student.students_with_pell_grant,latest.school.open_admissions_policy,latest.student.demographics.age_entry,latest.school.title_iv.eligibility_type
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",132471,1,"Private, nonprofit",3,144190.0,32.0,134968,30,,,132471,Barry University,25.878908,-80.198925,21,13,0.7724,28822,0.7126805778,2,26,1
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",132471,1,"Private, nonprofit",5,114647.0,174.0,127660,167,123150.0,165.0,132471,Barry University,25.878908,-80.198925,21,13,0.7724,28822,0.7126805778,2,26,1
5112,Medicine.,132471,1,"Private, nonprofit",7,59188.0,87.0,111890,85,131554.0,90.0,132471,Barry University,25.878908,-80.198925,21,13,0.7724,28822,0.7126805778,2,26,1
5123,Rehabilitation and Therapeutic Professions.,132471,2,"Private, nonprofit",5,61489.0,68.0,75402,66,69329.0,61.0,132471,Barry University,25.878908,-80.198925,21,13,0.7724,28822,0.7126805778,2,26,1
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",132471,1,"Private, nonprofit",3,81868.0,180.0,93608,164,91933.0,127.0,132471,Barry University,25.878908,-80.198925,21,13,0.7724,28822,0.7126805778,2,26,1
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",132471,1,"Private, nonprofit",5,149750.0,246.0,145767,212,138682.0,247.0,132471,Barry University,25.878908,-80.198925,21,13,0.7724,28822,0.7126805778,2,26,1
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",132471,2,"Private, nonprofit",6,,,138166,29,149877.0,25.0,132471,Barry University,25.878908,-80.198925,21,13,0.7724,28822,0.7126805778,2,26,1
5202,"Business Administration, Management and Operations.",132471,2,"Private, nonprofit",3,54266.0,138.0,64210,197,64721.0,173.0,132471,Barry University,25.878908,-80.198925,21,13,0.7724,28822,0.7126805778,2,26,1
5202,"Business Administration, Management and Operations.",132471,2,"Private, nonprofit",5,61860.0,124.0,84090,92,75645.0,101.0,132471,Barry University,25.878908,-80.198925,21,13,0.7724,28822,0.7126805778,2,26,1
0901,Communication and Media Studies.,132602,1,"Private, nonprofit",3,,,30852,27,27387.0,83.0,132602,Bethune-Cookman University,29.207195,-81.032946,13,11,0.8824,22913,0.866638796,2,20,1
1313,"Teacher Education and Professional Development, Specific Subject Areas.",132602,1,"Private, nonprofit",3,,,33933,39,53322.0,20.0,132602,Bethune-Cookman University,29.207195,-81.032946,13,11,0.8824,22913,0.866638796,2,20,1
2401,"Liberal Arts and Sciences, General Studies and Humanities.",132602,1,"Private, nonprofit",3,25459.0,36.0,42127,113,38111.0,125.0,132602,Bethune-Cookman University,29.207195,-81.032946,13,11,0.8824,22913,0.866638796,2,20,1
3011,Gerontology.,132602,1,"Private, nonprofit",3,,,51623,16,35236.0,32.0,132602,Bethune-Cookman University,29.207195,-81.032946,13,11,0.8824,22913,0.866638796,2,20,1
4201,"Psychology, General.",132602,1,"Private, nonprofit",3,,,37793,47,34592.0,124.0,132602,Bethune-Cookman University,29.207195,-81.032946,13,11,0.8824,22913,0.866638796,2,20,1
4301,Criminal Justice and Corrections.,132602,1,"Private, nonprofit",3,,,46540,31,35128.0,165.0,132602,Bethune-Cookman University,29.207195,-81.032946,13,11,0.8824,22913,0.866638796,2,20,1
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",132602,1,"Private, nonprofit",3,,,76641,22,77509.0,50.0,132602,Bethune-Cookman University,29.207195,-81.032946,13,11,0.8824,22913,0.866638796,2,20,1
5202,"Business Administration, Management and Operations.",132602,1,"Private, nonprofit",3,,,50413,19,36323.0,130.0,132602,Bethune-Cookman University,29.207195,-81.032946,13,11,0.8824,22913,0.866638796,2,20,1
5210,Human Resources Management and Services.,132602,3,"Private, nonprofit",5,,,49835,24,46936.0,48.0,132602,Bethune-Cookman University,29.207195,-81.032946,13,11,0.8824,22913,0.866638796,2,20,1
0901,Communication and Media Studies.,132657,1,"Private, nonprofit",3,,,53858,19,42054.0,19.0,132657,Lynn University,26.385985,-80.122806,13,11,0.7347,41024,0.604197901,2,21,1
0901,Communication and Media Studies.,132657,0,"Private, nonprofit",5,46524.0,20.0,74356,23,,,132657,Lynn University,26.385985,-80.122806,13,11,0.7347,41024,0.604197901,2,21,1
0907,"Radio, Television, and Digital Communication.",132657,2,"Private, nonprofit",3,,,39215,19,,,132657,Lynn University,26.385985,-80.122806,13,11,0.7347,41024,0.604197901,2,21,1
1003,Graphic Communications.,132657,1,"Private, nonprofit",3,17099.0,24.0,36590,31,,,132657,Lynn University,26.385985,-80.122806,13,11,0.7347,41024,0.604197901,2,21,1
1304,Educational Administration and Supervision.,132657,3,"Private, nonprofit",5,62348.0,22.0,68722,21,,,132657,Lynn University,26.385985,-80.122806,13,11,0.7347,41024,0.604197901,2,21,1
1304,Educational Administration and Supervision.,132657,3,"Private, nonprofit",6,68254.0,28.0,83158,22,95073.0,18.0,132657,Lynn University,26.385985,-80.122806,13,11,0.7347,41024,0.604197901,2,21,1
2601,"Biology, General.",132657,1,"Private, nonprofit",3,,,38783,23,,,132657,Lynn University,26.385985,-80.122806,13,11,0.7347,41024,0.604197901,2,21,1
3105,"Sports, Kinesiology, and Physical Education/Fitness.",132657,1,"Private, nonprofit",3,,,41209,20,,,132657,Lynn University,26.385985,-80.122806,13,11,0.7347,41024,0.604197901,2,21,1
4201,"Psychology, General.",132657,2,"Private, nonprofit",3,,,47373,25,34555.0,23.0,132657,Lynn University,26.385985,-80.122806,13,11,0.7347,41024,0.604197901,2,21,1
4301,Criminal Justice and Corrections.,132657,2,"Private, nonprofit",3,39496.0,24.0,68824,21,59055.0,30.0,132657,Lynn University,26.385985,-80.122806,13,11,0.7347,41024,0.604197901,2,21,1
5202,"Business Administration, Management and Operations.",132657,3,"Private, nonprofit",3,63132.0,22.0,72802,22,55453.0,33.0,132657,Lynn University,26.385985,-80.122806,13,11,0.7347,41024,0.604197901,2,21,1
5202,"Business Administration, Management and Operations.",132657,2,"Private, nonprofit",5,58347.0,246.0,77699,247,65491.0,146.0,132657,Lynn University,26.385985,-80.122806,13,11,0.7347,41024,0.604197901,2,21,1
5211,International Business.,132657,2,"Private, nonprofit",3,,,74456,23,,,132657,Lynn University,26.385985,-80.122806,13,11,0.7347,41024,0.604197901,2,21,1
5219,"Specialized Sales, Merchandising and  Marketing Operations.",132657,1,"Private, nonprofit",3,,,55029,22,,,132657,Lynn University,26.385985,-80.122806,13,11,0.7347,41024,0.604197901,2,21,1
5139,"Practical Nursing, Vocational Nursing and Nursing Assistants.",132675,1,Public,1,44940.0,38.0,52815,24,,,132675,North Florida Technical College,29.952308,-82.117224,32,-2,,17719,,1,29,1
1104,Information Science/Studies.,132693,1,Public,3,57313.0,64.0,70869,43,,,132693,Eastern Florida State College,28.170002,-80.670781,13,12,,22005,0.8466486121,1,25,1
2203,Legal Support Services.,132693,1,Public,2,,,33748,18,29356.0,23.0,132693,Eastern Florida State College,28.170002,-80.670781,13,12,,22005,0.8466486121,1,25,1
2401,"Liberal Arts and Sciences, General Studies and Humanities.",132693,1,Public,2,26771.0,401.0,42428,1032,39019.0,1241.0,132693,Eastern Florida State College,28.170002,-80.670781,13,12,,22005,0.8466486121,1,25,1
4301,Criminal Justice and Corrections.,132693,1,Public,1,51461.0,53.0,56068,68,54592.0,34.0,132693,Eastern Florida State College,28.170002,-80.670781,13,12,,22005,0.8466486121,1,25,1
4301,Criminal Justice and Corrections.,132693,3,Public,2,,,43285,16,34633.0,18.0,132693,Eastern Florida State College,28.170002,-80.670781,13,12,,22005,0.8466486121,1,25,1
4302,Fire Protection.,132693,1,Public,1,,,55414,23,,,132693,Eastern Florida State College,28.170002,-80.670781,13,12,,22005,0.8466486121,1,25,1
4702,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",132693,0,Public,1,,,47782,19,,,132693,Eastern Florida State College,28.170002,-80.670781,13,12,,22005,0.8466486121,1,25,1
4706,Vehicle Maintenance and Repair Technologies/Technicians.,132693,1,Public,1,,,68047,28,,,132693,Eastern Florida State College,28.170002,-80.670781,13,12,,22005,0.8466486121,1,25,1
4805,Precision Metal Working.,132693,1,Public,1,,,50029,18,,,132693,Eastern Florida State College,28.170002,-80.670781,13,12,,22005,0.8466486121,1,25,1
5106,Dental Support Services and Allied Professions.,132693,1,Public,2,57021.0,19.0,69083,16,42758.0,28.0,132693,Eastern Florida State College,28.170002,-80.670781,13,12,,22005,0.8466486121,1,25,1
5108,Allied Health and Medical Assisting Services.,132693,1,Public,2,29665.0,21.0,53597,19,,,132693,Eastern Florida State College,28.170002,-80.670781,13,12,,22005,0.8466486121,1,25,1
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",132693,1,Public,1,45857.0,35.0,62988,39,47419.0,79.0,132693,Eastern Florida State College,28.170002,-80.670781,13,12,,22005,0.8466486121,1,25,1
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",132693,1,Public,2,48657.0,39.0,54622,55,49169.0,40.0,132693,Eastern Florida State College,28.170002,-80.670781,13,12,,22005,0.8466486121,1,25,1
5110,Clinical/Medical Laboratory Science/Research and Allied Professions.,132693,1,Public,2,,,67936,20,69916.0,19.0,132693,Eastern Florida State College,28.170002,-80.670781,13,12,,22005,0.8466486121,1,25,1
5122,Public Health.,132693,1,Public,3,34462.0,38.0,53408,49,,,132693,Eastern Florida State College,28.170002,-80.670781,13,12,,22005,0.8466486121,1,25,1
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",132693,2,Public,2,62725.0,74.0,77667,106,70976.0,98.0,132693,Eastern Florida State College,28.170002,-80.670781,13,12,,22005,0.8466486121,1,25,1
