program_percentage_resources,program_percentage_architecture,program_percentage_ethnic_cultural_gender,program_percentage_communication,program_percentage_communications_technology,program_percentage_computer,program_percentage_personal_culinary,program_percentage_education,program_percentage_engineering,program_percentage_engineering_technology,program_percentage_language,program_percentage_family_consumer_science,program_percentage_legal,program_percentage_english,program_percentage_humanities,program_percentage_library,program_percentage_biological,program_percentage_mathematics,program_percentage_military,program_percentage_multidiscipline,program_percentage_parks_recreation_fitness,program_percentage_philosophy_religious,program_percentage_theology_religious_vocation,program_percentage_physical_science,program_percentage_science_technology,program_percentage_psychology,program_percentage_security_law_enforcement,program_percentage_public_administration_social_service,program_percentage_social_science,program_percentage_construction,program_percentage_mechanic_repair_technology,program_percentage_precision_production,program_percentage_transportation,program_percentage_visual_performing,program_percentage_health,program_percentage_business_marketing,program_percentage_history,instructional_expenditure_per_fte,faculty_salary,ft_faculty_rate,program_reporter_programs_offered,student_faculty_ratio,endowment_begin,endowment_end,dolflag,school_name,unit_id,has_endowment
0.0,0.0,0.0,0.0382,0.0,0.0743,0.1285,0.0,0.0,0.0863,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1847,0.0622,0.0,0.0,0.3293,0.0402,0.0,8756.0,,,27.0,20.0,,,1.0,Lorenzo Walker Technical College,133155,0
0.0003,0.0,0.0,0.0016,0.0016,0.0227,0.0605,0.0186,0.0129,0.0202,0.0,0.0003,0.0044,0.0,0.4307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0586,0.0,0.0,0.0195,0.0088,0.0224,0.0,0.0126,0.2146,0.0898,0.0,5646.0,7621.0,0.2803,,19.0,20767028.0,24334381.0,1.0,Daytona State College,133386,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9444,0.0278,0.0,10230.0,9088.0,0.5345,,12.0,,,0.0,South University-West Palm Beach,133465,0
0.1212,0.0,0.0023,0.0233,0.0,0.007,0.0,0.0,0.0,0.0,0.0047,0.0,0.0,0.0256,0.0023,0.0,0.4639,0.0,0.0,0.0,0.0,0.0093,0.0,0.0303,0.0,0.0793,0.0,0.0,0.0629,0.0,0.0,0.0,0.0,0.049,0.0023,0.1096,0.007,17363.0,8920.0,0.8918,,11.0,83580143.0,94995100.0,0.0,Eckerd College,133492,1
0.0,0.006,0.0,0.0,0.0089,0.0741,0.0,0.0244,0.0,0.0,0.0,0.012,0.0279,0.0,0.4767,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0355,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,0.2232,0.0595,0.0,4739.0,7052.0,0.2759,,27.0,46408962.0,49289947.0,1.0,Florida SouthWestern State College,133508,1
0.0,0.0,0.0,0.0467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0935,0.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0093,0.0,0.5327,0.0,4916.0,5800.0,1.0,,14.0,4331662.0,5527915.0,0.0,Edward Waters University,133526,1
0.0,0.0,0.0,0.0007,0.0,0.0209,0.0,0.0,0.3398,0.0056,0.0,0.0,0.0,0.0,0.0,0.0,0.0265,0.014,0.0216,0.0174,0.0,0.0,0.0,0.03,0.0,0.0209,0.0356,0.0,0.0,0.0,0.0,0.0,0.4166,0.0,0.0,0.0502,0.0,14657.0,10966.0,0.8761,,18.0,195144000.0,222643000.0,1.0,Embry-Riddle Aeronautical University-Daytona Beach,133553,1
0.0025,0.0249,0.0037,0.0423,0.0,0.0292,0.0,0.0317,0.033,0.0087,0.0,0.0,0.0,0.0056,0.0124,0.0,0.0616,0.0031,0.0,0.0759,0.0131,0.0012,0.0,0.0081,0.0,0.0896,0.0647,0.0292,0.0485,0.0,0.0,0.0,0.0,0.0342,0.2365,0.1033,0.0012,10680.0,9244.0,0.9984,,14.0,97517038.0,101700975.0,1.0,Florida Agricultural and Mechanical University,133650,1
0.0038,0.0176,0.0003,0.058,0.0,0.0365,0.0,0.0293,0.0346,0.0,0.0035,0.0,0.0,0.0112,0.0536,0.0,0.0614,0.003,0.0,0.0928,0.0239,0.0014,0.0,0.0123,0.0,0.0752,0.0442,0.0351,0.0445,0.0,0.0,0.0,0.0,0.0157,0.1138,0.2223,0.0058,9412.0,10706.0,0.7525,,24.0,354574122.0,398118994.0,1.0,Florida Atlantic University,133669,1
0.0002,0.0009,0.0,0.0036,0.0145,0.0807,0.0518,0.0059,0.0,0.0302,0.0,0.0074,0.0067,0.0,0.2881,0.0,0.0028,0.0,0.0,0.0014,0.0,0.0,0.0,0.0,0.0209,0.0,0.0532,0.0147,0.0,0.0031,0.001,0.0074,0.0484,0.0104,0.1402,0.2066,0.0,4827.0,6904.0,0.3598,,27.0,33332917.0,35667630.0,1.0,Florida State College at Jacksonville,133702,1
