code,title,unit_id,distance,school_type,credential_level,school_city,location_lat,location_lon,locale,carnegie_size_setting,median_family_income,students_with_pell_grant,age_entry,title_iv_eligibility_type,actual,pred,school_name,4_yr_working_count,error,school_count,confidence,pct_error,score
5123,Rehabilitation and Therapeutic Professions.,132471,2,"Private, nonprofit",5,Miami,25.878908,-80.198925,21,13,28822.0,0.7126805778,26.0,1,75401.99999999994,73448.09,Barry University,66,1953.9062499999418,9,medium,0.02660254542004287,0.026165456234904346
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",132471,1,"Private, nonprofit",3,Miami,25.878908,-80.198925,21,13,28822.0,0.7126805778,26.0,1,93607.99999999999,81663.61,Barry University,164,11944.390624999985,57,high,0.1462633199342346,0.14543392866455662
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",132471,1,"Private, nonprofit",5,Miami,25.878908,-80.198925,21,13,28822.0,0.7126805778,26.0,1,145767.00000000003,124537.22,Barry University,212,21229.78125000003,18,high,0.17046937022591915,0.1697528362353544
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",132471,2,"Private, nonprofit",6,Miami,25.878908,-80.198925,21,13,28822.0,0.7126805778,26.0,1,138165.99999999988,133617.97,Barry University,29,4548.031249999884,8,medium,0.03403757213604464,0.032594539899864695
5202,"Business Administration, Management and Operations.",132471,2,"Private, nonprofit",3,Miami,25.878908,-80.198925,21,13,28822.0,0.7126805778,26.0,1,64210.00000000001,74567.17,Barry University,197,-10357.171874999993,58,high,-0.13889720656647866,-0.1382612586500262
5202,"Business Administration, Management and Operations.",132471,2,"Private, nonprofit",5,Miami,25.878908,-80.198925,21,13,28822.0,0.7126805778,26.0,1,84090.00000000004,80272.195,Barry University,92,3817.8046875000437,35,high,0.04756073597635288,0.04703058424009285
0901,Communication and Media Studies.,132602,1,"Private, nonprofit",3,Daytona Beach,29.207195,-81.032946,13,11,22913.0,0.866638796,20.0,1,30852.000000000004,49103.438,Bethune-Cookman University,27,-18251.437499999996,15,medium,-0.3716936823414857,-0.3546118495631028
1313,"Teacher Education and Professional Development, Specific Subject Areas.",132602,1,"Private, nonprofit",3,Daytona Beach,29.207195,-81.032946,13,11,22913.0,0.866638796,20.0,1,33933.000000000015,43410.32,Bethune-Cookman University,39,-9477.320312499985,11,medium,-0.2183195204337387,-0.21171889836477567
2401,"Liberal Arts and Sciences, General Studies and Humanities.",132602,1,"Private, nonprofit",3,Daytona Beach,29.207195,-81.032946,13,11,22913.0,0.866638796,20.0,1,42126.999999999985,45931.36,Bethune-Cookman University,113,-3804.3593750000146,12,medium,-0.08282705817478354,-0.08210114987121503
4201,"Psychology, General.",132602,1,"Private, nonprofit",3,Daytona Beach,29.207195,-81.032946,13,11,22913.0,0.866638796,20.0,1,37792.99999999997,39269.383,Bethune-Cookman University,47,-1476.382812500029,29,high,-0.03759628256826271,-0.03667973145243857
4301,Criminal Justice and Corrections.,132602,1,"Private, nonprofit",3,Daytona Beach,29.207195,-81.032946,13,11,22913.0,0.866638796,20.0,1,46540.00000000003,45314.71,Bethune-Cookman University,31,1225.289062500029,23,high,0.027039542725760746,0.02597668652049354
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",132602,1,"Private, nonprofit",3,Daytona Beach,29.207195,-81.032946,13,11,22913.0,0.866638796,20.0,1,76641.00000000003,85812.055,Bethune-Cookman University,22,-9171.05468749997,57,high,-0.10687373377665892,-0.10069964754248857
5210,Human Resources Management and Services.,132602,3,"Private, nonprofit",5,Daytona Beach,29.207195,-81.032946,13,11,22913.0,0.866638796,20.0,1,49834.999999999985,76962.59,Bethune-Cookman University,24,-27127.593750000015,7,medium,-0.35247764437512885,-0.33399240831003246
0901,Communication and Media Studies.,132657,0,"Private, nonprofit",5,Boca Raton,26.385985,-80.122806,13,11,41024.0,0.604197901,21.0,1,74355.99999999997,71602.375,Lynn University,23,2753.624999999971,3,low,0.03845717408116659,0.036342428522931534
1003,Graphic Communications.,132657,1,"Private, nonprofit",3,Boca Raton,26.385985,-80.122806,13,11,41024.0,0.604197901,21.0,1,36590.0,48661.27,Lynn University,31,-12071.26953125,4,low,-0.24806729556239582,-0.23831639603401156
1304,Educational Administration and Supervision.,132657,3,"Private, nonprofit",5,Boca Raton,26.385985,-80.122806,13,11,41024.0,0.604197901,21.0,1,68722.00000000003,69386.9,Lynn University,21,-664.8984374999709,20,high,-0.00958247814029151,-0.008999699891544859
1304,Educational Administration and Supervision.,132657,3,"Private, nonprofit",6,Boca Raton,26.385985,-80.122806,13,11,41024.0,0.604197901,21.0,1,83158.00000000006,89148.086,Lynn University,22,-5990.085937499942,5,low,-0.06719253559408415,-0.06331082870137485
2601,"Biology, General.",132657,1,"Private, nonprofit",3,Boca Raton,26.385985,-80.122806,13,11,41024.0,0.604197901,21.0,1,38783.000000000015,47377.355,Lynn University,23,-8594.355468749985,24,high,-0.18140217797548458,-0.1714269403431467
3105,"Sports, Kinesiology, and Physical Education/Fitness.",132657,1,"Private, nonprofit",3,Boca Raton,26.385985,-80.122806,13,11,41024.0,0.604197901,21.0,1,41208.999999999985,49922.867,Lynn University,20,-8713.867187500015,18,high,-0.1745466091675489,-0.1633459989017128
